label,image,resolution,k,init_time,kmeans_time,total_time,input_kb,output_kb,size_reduction
ispc,data/images/nature_512x512.png,512x512,4,0.0039,0.0241,0.0279,414.04,34.61,91.6
ispc,data/images/nature_512x512.png,512x512,8,0.0091,0.1960,0.2051,414.04,100.26,75.8
ispc,data/images/nature_512x512.png,512x512,16,0.0178,0.2674,0.2852,414.04,167.22,59.6
ispc,data/images/nature_512x512.png,512x512,32,0.0341,0.3531,0.3872,414.04,234.39,43.4
ispc,data/images/nature_512x512.png,512x512,64,0.0656,0.5348,0.6004,414.04,310.53,25.0
ispc,data/images/nature_512x512.png,512x512,128,0.1260,0.9059,1.0319,414.04,381.30,7.9
ispc,data/images/nature_512x512.png,512x512,256,0.2424,1.6600,1.9025,414.04,441.36,-6.6
ispc,data/images/colorful_1024x1024.png,1024x1024,4,0.0149,0.1757,0.1906,1824.93,75.61,95.9
ispc,data/images/colorful_1024x1024.png,1024x1024,8,0.0319,0.1382,0.1701,1824.93,78.87,95.7
ispc,data/images/colorful_1024x1024.png,1024x1024,16,0.0611,1.0828,1.1439,1824.93,207.95,88.6
ispc,data/images/colorful_1024x1024.png,1024x1024,32,0.1196,1.4266,1.5462,1824.93,430.05,76.4
ispc,data/images/colorful_1024x1024.png,1024x1024,64,0.2414,2.1499,2.3913,1824.93,816.11,55.3
ispc,data/images/colorful_1024x1024.png,1024x1024,128,0.4671,3.6229,4.0899,1824.93,1234.50,32.4
ispc,data/images/colorful_1024x1024.png,1024x1024,256,0.9190,6.6345,7.5535,1824.93,1719.65,5.8
ispc,data/images/portrait_1920x1080.png,1920x1080,4,0.0259,0.7923,0.8182,1424.19,105.39,92.6
ispc,data/images/portrait_1920x1080.png,1920x1080,8,0.0540,1.3872,1.4412,1424.19,238.49,83.3
ispc,data/images/portrait_1920x1080.png,1920x1080,16,0.1122,2.2520,2.3643,1424.19,375.30,73.6
ispc,data/images/portrait_1920x1080.png,1920x1080,32,0.2264,2.9269,3.1533,1424.19,615.33,56.8
ispc,data/images/portrait_1920x1080.png,1920x1080,64,0.4681,4.3500,4.8180,1424.19,1025.10,28.0
ispc,data/images/portrait_1920x1080.png,1920x1080,128,0.9190,7.2238,8.1428,1424.19,1369.68,3.8
ispc,data/images/portrait_1920x1080.png,1920x1080,256,1.8254,13.2045,15.0300,1424.19,1727.40,-21.3
ispc,data/images/urbn_3840x2160.png,3840x2160,4,0.1170,4.2926,4.4095,12798.68,1176.00,90.8
ispc,data/images/urbn_3840x2160.png,3840x2160,8,0.2503,5.5069,5.7572,12798.68,1790.56,86.0
ispc,data/images/urbn_3840x2160.png,3840x2160,16,0.4845,8.7729,9.2574,12798.68,3061.10,76.1
ispc,data/images/urbn_3840x2160.png,3840x2160,32,0.9784,11.4911,12.4696,12798.68,4781.18,62.6
ispc,data/images/urbn_3840x2160.png,3840x2160,64,1.9052,17.2948,19.2001,12798.68,6237.90,51.3
ispc,data/images/urbn_3840x2160.png,3840x2160,128,3.7971,28.8197,32.6168,12798.68,8382.43,34.5
ispc,data/images/urbn_3840x2160.png,3840x2160,256,7.2787,52.7883,60.0670,12798.68,10748.15,16.0
